Version5;
PCI\VEN_8086&DEV_2782	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2782	FORCED\5x86\82865_6.14.10.4396\	ialmnt5.inf	Intel.Mfg	1	09/20/2005,6.14.10.4396	Intel(R) 82915G/GV/910GL Express Chipset Family
PCI\VEN_8086&DEV_2782	FORCED\5x86\82855_6.14.10.4497\	ialmnt5.inf	Intel.Mfg	1	02/07/2006,6.14.10.4497	Intel(R) 82915G/GV/910GL Express Chipset Family
PCI\VEN_8086&DEV_041A	FORCED\5x64\Haswell_6.14.10.5445\	igxp64_tweak.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Variable: iHSWSVGT2
PCI\VEN_8086&DEV_041A	FORCED\5x86\Haswell_6.14.10.5445\	igxp32_tweak.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics P4600/P4700
DISPLAY\wADV01nt	FORCED\5x86\82810_6.13.01.3196\	wfp0.inf	Intel.Mfg	1	07/23/2002	Intel(r) AIM External Flat Panel Driver 0
PCI\VEN_8086&DEV_2E32	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E32	FORCED\5x86\ExpressHD_6.14.10.5417\	kit45888.inf	Intel.Mfg	1	06/15/2012,6.14.10.5417	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E32	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E32	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2E32	FORCED\5x64\Express40_6.14.10.5355\	igxp64.inf	Intel.Mfg.NTamd64	1	04/22/2011,6.14.10.5355	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E32	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E32	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E32	FORCED\5x86\Express40_6.14.10.5420\	kit47725.inf	Intel.Mfg	1	07/23/2012,6.14.10.5420	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2E33	FORCED\5x86\Express40_6.14.10.5420\	kit47725.inf	Intel.Mfg	1	07/23/2012,6.14.10.5420	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x86\ExpressHD_6.14.10.5417\	kit45888.inf	Intel.Mfg	1	06/15/2012,6.14.10.5417	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x64\Express40_6.14.10.5355\	igxp64.inf	Intel.Mfg.NTamd64	1	04/22/2011,6.14.10.5355	Intel(R) G41 Express Chipset
PCI\VEN_8086&DEV_2E33	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Intel(R) G41 Express Chipset
