Version5;
USB\VID_04f2&PID_b028	Sonix\WinAll\Syntek_6.21.70.003\	snp2uvc.inf	SN.NTx86.6.0	1	06/26/2007,6.21.70.003	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Sonix\WinAll\Syntek_6.21.70.003\	snp2uvc.inf	SN.NTx86.5.1	1	06/26/2007,6.21.70.003	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\-old\	snp2uvc.inf	SN.NTx86.5.1	1	01/25/2010,061.005.200.300	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.028.260_CNF6131\	snp2uvc.inf	SN.NTx86.5.1	1	10/19/2007,061.005.028.260	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Sonix\WinAll\Syntek_6.21.70.003\	snp2uvc.inf	SN.NTamd64.6.0	1	06/26/2007,6.21.70.003	USB 2.0 VGA UVC WebCam
USB\VID_04f2&PID_b028	Chicony\Sonix\WinAll\061.005.028.260_CNF6131\	snp2uvc.inf	SN.NTx86.6.0	1	10/19/2007,061.005.028.260	USB 2.0 VGA UVC WebCam
USB\VID_04F2&PID_B028	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04f2&PID_b028	Sonix\WinAll\Syntek_6.21.70.003\	snp2uvc.inf	SN.NTamd64	1	06/26/2007,6.21.70.003	USB 2.0 VGA UVC WebCam
USB\VID_04F2&PID_B028	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04f2&PID_b029	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\	snp2uvc.inf	SN.NTamd64	1	10/06/2010,061.005.200.450	USB 2.0 1.3M UVC WebCam
USB\VID_04f2&PID_b029	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\-old\	snp2uvc.inf	SN.NTx86.5.1	1	01/25/2010,061.005.200.300	USB 2.0 1.3M UVC WebCam
USB\VID_04F2&PID_B029	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B029	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04f2&PID_b029	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\	snp2uvc.inf	SN.NTx86.5.1	1	10/06/2010,061.005.200.450	USB 2.0 1.3M UVC WebCam
USB\VID_04f2&PID_b029	Chicony\Sonix\WinAll\061.005.200.450_CNF7129\-old\	snp2uvc.inf	SN.NTamd64	1	01/25/2010,061.005.200.300	USB 2.0 1.3M UVC WebCam
USB\VID_04F2&PID_B020	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B020	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B021	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B021	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B52A&MI_00	Realtek\NTx64\6.2.9200.10296\	RtsUVC.inf	Realtek.NTamd64.6	1	01/13/2015,6.2.9200.10296	Realtek USB2.0 PC Camera
USB\VID_04F2&PID_B52A&MI_00	Realtek\NTx86\6.2.9200.10296\	RtsUVC.inf	Realtek.NTx86.6	1	01/13/2015,6.2.9200.10296	Realtek USB2.0 PC Camera
USB\VID_04F2&PID_B022	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B3DF&MI_00	FJWebCam\WinAll\Sonix\6.0.1223.1\	snp2uvc.inf	SN.NTx86.6.0	1	12/24/2013,6.0.1223.1	FJ Camera
USB\VID_04F2&PID_B3DF&MI_00	FJWebCam\WinAll\Sonix\6.0.1223.1\	snp2uvc.inf	SN.NTx86.6.1	1	12/24/2013,6.0.1223.1	FJ Camera
USB\VID_04F2&PID_B3DF&MI_00	FJWebCam\WinAll\Sonix\6.0.1223.1\	snp2uvc.inf	SN.NTamd64.6.0	1	12/24/2013,6.0.1223.1	FJ Camera
USB\VID_04F2&PID_B022	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
