Version5;
Monitor\VSC5920	ViewSonic\6x64\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTia64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\6x86\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic VA1926w Series
Monitor\VSC5920	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic	0	01/14/2013,1.5.2.73	ViewSonic VA1926w Series
Monitor\VSC5920	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.73	ViewSonic VA1926w Series
Monitor\VSC5920	ViewSonic\5x64\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTia64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\Allx64\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic VA1926w Series
Monitor\VSC5920	ViewSonic\Allx86\	VS130114_l19.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.73	ViewSonic VA1926w Series
Monitor\VSC5920	ViewSonic\7x86\VA1926w_Series\	VA1926w.inf	ViewSonic.NTamd64	0	05/29/2009,1.5.0.0	ViewSonic VA1926w
Monitor\VSC5920	ViewSonic\5x64\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTamd64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5920	ViewSonic\5x86\VA1926w-3_Series\	VA1926w-3_SERIES.inf	ViewSonic.NTamd64	1	05/22/2007,1.5.1.0	ViewSonic VA1926w-3 SERIES
Monitor\VSC5921	ViewSonic\Allx86\	VS130114_l47.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.75	ViewSonic AVNXX63w-NT
Monitor\VSC5921	ViewSonic\Allx86\	VS130114_l47.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.75	ViewSonic AVNXX63w-NT
Monitor\VSC5921	ViewSonic\Allx64\	VS130114_l47.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.75	ViewSonic AVNXX63w-NT
