Version5;
Monitor\SAM0264	Samsung\WinAll\	SM225MD.inf	Samsung.NTAMD64	1	03/08/2007,3.0	SyncMaster 225MD/225MS/2280HD(Analog)
Monitor\SAM0264	Samsung\WinAll\	SM225MD.inf	Samsung	1	03/08/2007,3.0	SyncMaster 225MD/225MS/2280HD(Analog)
Monitor\GWY05FB	Gateway\WinAll\	05fb.inf	Gateway	1	01/18/2002,1.1	Gateway FPD1530
Monitor\GWY05FB	GTW\WinAll\	05fb.inf	Gateway	1	01/18/2002,1.1	Gateway FPD1530
Monitor\GWY05FC	GTW\WinAll\	mon05FF.INF	Gateway	1	01/16/2004,1.0	Gateway FPD1530
Monitor\GWY05FC	Gateway\WinAll\	mon05FE.INF	Gateway	1	05/06/2003,1.0	Gateway FPD1530
Monitor\GWY05FC	Gateway\WinAll\	mon05FF.INF	Gateway	1	01/16/2004,1.0	Gateway FPD1530
Monitor\GWY05FC	Gateway\WinAll\	05FC.INF	Gateway	1	03/29/2002,1.1	Gateway FPD1530
Monitor\GWY05FA	Gateway\WinAll\	05FA.inf	Gateway	1	07/02/2001,01.08.1.0	GateWay FPD1530
Monitor\GWY05FA	GTW\WinAll\	05FA.inf	Gateway	1	07/02/2001,01.08.1.0	GateWay FPD1530
Monitor\VSCA51E	ViewSonic\7x86\VG2030wm\	VG2030wm.inf	ViewSonic	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\GWY05FF	GTW\WinAll\	mon05FF.INF	Gateway	1	01/16/2004,1.0	Gateway FPD1530
Monitor\VSCA51E	ViewSonic\WinAll\	VS130530_l20.inf	ViewSonic.NTamd64	0	05/30/2013,1.5.2.83	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\WinAll\	VS130320_l20.inf	ViewSonic	0	03/20/2013,1.5.2.82	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\WinAll\	VS130114_l20.inf	ViewSonic	0	01/14/2013,1.5.2.81	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\6x64\VG2030wm\	VG2030wm.inf	ViewSonic.NTamd64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\6x86\VG2030wm\	VG2030wm.inf	ViewSonic.NTamd64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\6x86\VG2030wm\	VG2030wm.inf	ViewSonic	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\7x64\VG2030wm\	VG2030wm.inf	ViewSonic	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\6x86\VG2030wm\	VG2030wm.inf	ViewSonic.NTia64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\7x86\VG2030wm\	VG2030wm.inf	ViewSonic.NTamd64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\WinAll\	VS130114_l20.inf	ViewSonic.NTamd64	0	01/14/2013,1.5.2.81	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\WinAll\	VS130114_l20.inf	ViewSonic.NTia64	0	01/14/2013,1.5.2.81	ViewSonic VG2030wm Series
