Version5;
USB\VID_138A&PID_0015	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTx86.6.3	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0015	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTx86	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0015	VS\FORCED\NTx64\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTamd64	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0015	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTamd64.6.3	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0015	VS\FORCED\NTx86\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTamd64	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0015	VS\FORCED\NTx86\WBF_0017_DRV\	wbf_vfs_cmn.inf	Validity.NTx86	1	01/17/2014,4.5.247.00	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0015	VS\WinAll\WBF_0017_DRV\	wbf_vfs_cmn_0017.inf	Validity.NTamd64	1	07/21/2014,4.5.266.0	Variable: VfsUsbDeviceName0015
USB\VID_138A&PID_0018	VS\FORCED\NTx64\WBF_0018_DRV\	wbf_vfs_0018.inf	Validity.NTx86	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName0018
USB\VID_138A&PID_0018	VS\FORCED\NTx86\WBF_0018_DRV\	wbf_vfs_0018.inf	Validity.NTx86	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName0018
USB\VID_138A&PID_0018	VS\FORCED\NTx64\WBF_0018_DRV\	wbf_vfs_0018.inf	Validity.NTamd64	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName0018
USB\VID_138A&PID_0018	VS\FORCED\NTx86\WBF_0018_DRV\	wbf_vfs_0018.inf	Validity.NTamd64	1	09/06/2012,4.4.234.00	Variable: VfsUsbDeviceName0018
USB\VID_138A&PID_0018	VS\WinAll\ALL\	vfs_0018.inf	Validity.NTamd64	1	06/13/2012,2.2.0.0	Variable: USB\vfsSensor.DeviceDesc
USB\VID_138A&PID_0018	VS\WinAll\ALL\	vfs_0018.inf	Validity.NTx86	1	06/13/2012,2.2.0.0	Variable: USB\vfsSensor.DeviceDesc
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN.NTia64	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN.NTx86	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN.NTx86	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN.NTamd64	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN.NTamd64	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0600	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN.NTia64	0	07/04/2012,1.0.3.8	NITGEN FDU11/14 USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN.NTamd64	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN.NTia64	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN.NTia64	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN.NTx86	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN.NTx86	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx86\	NGStar.inf	NITGEN	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_0A86&PID_0602	Nitgen\FORCED\Allx64\	NGStar.inf	NITGEN.NTamd64	0	07/04/2012,1.0.3.8	NITGEN FDU06M/06S USB FRD
USB\VID_1491&PID_0060	Futronic\FS25\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTamd64	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS25\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS90\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTamd64	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS90\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTamd64.6.0	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS90\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS25\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTx86.6.0	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS90\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTx86.6.0	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS25\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTx86	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS90\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTx86	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_1491&PID_0060	Futronic\FS25\WinAll\	FtrWinUsb.inf	FTRUSB_WinUSB.NTamd64.6.0	1	09/24/2012,5.0.16385.10	Futronic USB Fingerprint Scanner Device
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx64\	nfrd05.inf	NITGEN	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx64\	nfrd05.inf	NITGEN.NTia64	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN.NTia64	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN.NTx86	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx64\	nfrd05.inf	NITGEN.NTamd64	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN.NTamd64	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
USB\VID_0A86&PID_0610	Nitgen\FORCED\Allx64\	nfrd05.inf	NITGEN.NTx86	0	09/05/2011,1.0.2.6	NITGEN RollSensor USB FRD
HID\VID_1B96&PID_0018&mi_00	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID device
HID\VID_1B96&PID_0018&mi_00	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID device
USB\VID_0602&PID_313C&MI_00	Vista\WinAll\	VistaFA2.inf	Vii.NTx86	0	12/21/2011,1.0.0.1	VistaFA2 Camera
USB\VID_0602&PID_313C&MI_00	Vista\WinAll\	VistaFA2.inf	Vii.NTamd64	0	12/21/2011,1.0.0.1	VistaFA2 Camera
USB\VID_1946&PID_1500	IrisGuard\5x86\	ig_ad100.inf	IrisGuard	0	11/02/2005,1.0.0.0	IrisGuard AD100
USB\VID_147E&PID_2016&REV_0001&MI_00	AuthenTec\TC\FORCED\Allx64\	tcwbfadv.inf	Models.NTAMD64	1	02/27/2013,1.6.2.0352	TouchStrip Fingerprint Sensor (WBF advanced mode)
USB\VID_147E&PID_2016&REV_0001&MI_00	AuthenTec\TC\FORCED\Allx86\	tcwbfadv.inf	Models.NTx86	1	02/27/2013,1.6.2.0352	TouchStrip Fingerprint Sensor (WBF advanced mode)
HID\VID_1B96&PID_0006&REV_5100&mi_01&col01	N-Trig\FORCED\7x64\0006.5\	NtrigDigi.Inf	Standard.NTAMD64.6.1.1	0	01/29/2011,4.6.5100.18	N-trig DuoSense Pen HID device
HID\VID_1B96&PID_0006&REV_5100&mi_01&col01	N-Trig\FORCED\7x86\0006.5\	ntrigdigi.inf	Standard.NTx86.6.1.1	0	01/29/2011,4.6.5100.18	N-trig DuoSense Pen HID device
HID\VID_1B96&PID_0006&REV_5100&mi_01&col03	N-Trig\FORCED\7x64\0006.5\	NtrigDigi.Inf	Standard.NTAMD64.6.1.1	0	01/29/2011,4.6.5100.18	N-trig DuoSense Touch HID device
HID\VID_1B96&PID_0006&REV_5100&mi_01&col03	N-Trig\FORCED\7x86\0006.5\	ntrigdigi.inf	Standard.NTx86.6.1.1	0	01/29/2011,4.6.5100.18	N-trig DuoSense Touch HID device
HID\VID_1B96&PID_0006&REV_5100&MI_01&Col02	N-Trig\FORCED\7x64\0006.5\	NtrigDigi.Inf	Standard.NTAMD64.6.1.1	0	01/29/2011,4.6.5100.18	N-trig DuoSense MultiTouch HID device
HID\VID_1B96&PID_0006&REV_5100&MI_01&Col02	N-Trig\FORCED\7x86\0006.5\	ntrigdigi.inf	Standard.NTx86.6.1.1	0	01/29/2011,4.6.5100.18	N-trig DuoSense MultiTouch HID device
USB\VID_1B96&PID_0010&mi_00	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID Interface
USB\VID_1B96&PID_0010&mi_00	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Control HID Interface
USB\VID_1B96&PID_0010&mi_01	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Touch HID Interface
USB\VID_1B96&PID_0010&mi_01	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Touch HID Interface
USB\VID_1B96&PID_0010&mi_02	N-Trig\FORCED\8x64\	NtrigDigi.Inf	Standard.NTAMD64.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Secondary Interface
USB\VID_1B96&PID_0010&mi_02	N-Trig\FORCED\8x86\	ntrigdigi.inf	Standard.NTx86.6.2	0	06/28/2012,4.99.9999.34	N-trig DuoSense Secondary Interface
USB\VID_0A86&PID_0620	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN.NTamd64	0	09/05/2011,1.0.2.6	NITGEN FlatSensor USB FRD
USB\VID_0A86&PID_0620	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN.NTx86	0	09/05/2011,1.0.2.6	NITGEN FlatSensor USB FRD
USB\VID_0A86&PID_0620	Nitgen\FORCED\Allx64\	nfrd05.inf	NITGEN	0	09/05/2011,1.0.2.6	NITGEN FlatSensor USB FRD
USB\VID_0A86&PID_0620	Nitgen\FORCED\Allx86\	nfrd05.inf	NITGEN.NTia64	0	09/05/2011,1.0.2.6	NITGEN FlatSensor USB FRD
